# GeneMark.hmm-2 LST format
# GeneMark.hmm-2 prokaryotic version: 1.06
# File with sequence: tmpseq.fna
# File with native parameters: itr_1.mod
# File with MetaGeneMark parameters: /home/karl/repos/repos-gms2/bin/mgm_11.mod
#
# translation table: 11
# output date start: Sun Oct 28 17:19:54 2018

# sequence-region 1 4411532
SequenceID: anydef
     1   +   <1    1524    1524 nativebacarc native
   520   +    592908    593867     960 nativebacarc  0 3 native
   521   -    593871    594779     909 nativebacarc  0 3 native
   522   -    594802    595302     501 nativebacarc  0 3 native
   523   -    595464    596390     927 nativebacarc  0 3 native
   524   +    596765    597202     438 nativebacarc  0 3 native
   525   +    597199    600105    2907 nativebacarc  0 3 atypical
   526   +    600098    600391     294 nativebac  0 3 native
   527   +    600441    601847    1407 nativebacarc  0 3 native
   528   +    601848    602786     939 nativebacarc  0 3 native
   529   +    602819    604516    1698 nativebacarc  0 3 native
   530   +    604608    605591     984 nativebacarc  0 3 native
   531   +    605604    606152     549 nativebacarc  0 3 native
   532   +    606149    606448     300 nativebac  0 3 native
   533   +    606527    608062    1536 nativebacarc  0 3 native
   534   -    608059    608535     477 nativebacarc  0 3 native
   535   +    608824    610056    1233 nativebacarc  0 3 native
   536   +    610188    610883     696 nativebacarc  0 3 native
   537   -    610935    611042     108 bac  0 3 atypical
   538   -    611172    612029     858 nativebacarc  0 3 native
   539   +    612255    612605     351 nativebacarc  0 3 native
   540   +    612598    612903     306 nativebac  0 3 native
   541   +    613038    614342    1305 nativebacarc  0 3 native
   542   -    614326    614730     405 nativebacarc  0 3 native
   543   +    614835    616223    1389 nativebacarc  0 3 native
   544   +    616223    616831     609 nativebacarc  0 3 native
   545   +    616885    617496     612 nativebacarc  0 3 native
   546   +    617493    618272     780 nativebacarc  0 3 native
   547   +    618269    619894    1626 nativebacarc  0 3 native
   548   +    619891    620865     975 nativebacarc  0 3 native
   549   +    620937    622124    1188 nativebacarc  0 3 native
   550   -    622121    622282     162 nativebac  0 3 atypical
   551   +    622329    622646     318 nativebacarc  0 3 native
   552   +    622793    624577    1785 nativebacarc  0 3 native
   553   -    624473    625480    1008 nativebacarc  0 3 native
   554   -    625562    626476     915 nativebacarc  0 3 native
   555   +    626475    627251     777 nativebacarc  0 3 native
   556   +    627248    628288    1041 nativebacarc  0 3 native
   557   -    628298    629731    1434 nativebacarc  0 3 native
   558   +    630040    631686    1647 nativebacarc  0 3 native
   559   +    631719    632375     657 nativebacarc  0 3 native
   560   +    632372    633034     663 nativebacarc  0 3 native
   561   -    633055    634404    1350 nativebacarc  0 3 native
   562   -    634416    635504    1089 nativebacarc  0 3 native
   563   -    635573    635875     303 nativebacarc  0 3 native
   564   -    635935    636213     279 nativebacarc  0 3 native
   565   -    636210    637463    1254 nativebacarc  0 3 native
   566   -    637583    637969     387 nativebacarc  0 3 native
   567   -    638032    638916     885 nativebacarc  0 3 native
   568   -    639012    639914     903 nativebacarc  0 3 native
   569   -    640228    640641     414 nativebac  0 3 native
   570   -    640638    640856     219 nativebac  0 3 native
   571   -    641096    642712    1617 nativebacarc  0 3 native
   572   +    642889    644493    1605 nativebacarc  0 3 native
   573   +    644499    645470     972 nativebacarc  0 3 native
   574   +    645467    646255     789 nativebacarc  0 3 native
   575   +    646298    647962    1665 nativebacarc  0 3 native
   576   +    647959    648474     516 nativebac  0 3 native
   577   +    648545    649672    1128 nativebacarc  0 3 native
   578   +    649689    650393     705 nativebacarc  0 3 native
   579   -    650407    650745     339 nativebacarc  0 3 native
   580   -    650779    651456     678 nativebacarc  0 3 native
   581   -    651529    652755    1227 nativebacarc  0 3 native
   582   +    652771    653778    1008 nativebacarc  0 3 native
   583   +    653879    654739     861 nativebacarc  0 3 native
   584   -    654924    655949    1026 nativebacarc  0 3 native
   585   -    656010    657470    1461 nativebacarc  0 3 native
   586   -    657548    658039     492 nativebacarc  0 3 native
   587   +    658318    659340    1023 nativebacarc  0 3 native
   588   +    659450    660868    1419 nativebacarc  0 3 native
   589   +    660934    661269     336 nativebacarc  0 3 atypical
   590   +    661295    663373    2079 nativebacarc  0 3 native
   591   -    663487    664818    1332 nativebacarc  0 3 native
   592   +    665105    665326     222 native  0 3 native
   593   -    665851    667098    1248 nativebacarc  0 3 atypical
   594   -    667252    668394    1143 nativebacarc  0 3 native
   595   -    668579    669745    1167 nativebacarc  0 3 native
   596   +    669848    671152    1305 nativebacarc  0 3 native
   597   +    671166    671951     786 nativebacarc  0 3 native
   598   -    671996    675916    3921 nativebac  0 3 native
   599   +    676238    676996     759 nativebacarc  0 3 native
   600   -    677125    677616     492 nativebacarc  0 3 native
   601   +    677710    677925     216 nativebac  0 3 native
   602   +    677922    678329     408 nativebacarc  0 3 native
   603   -    678389    679075     687 nativebacarc  0 3 native
   604   +    679229    681862    2634 nativebacarc  0 3 native
   605   -    681885    684272    2388 nativebacarc  0 3 native
   606   +    684410    685132     723 nativebacarc  0 3 native
   607   +    685129    685926     798 nativebacarc  0 3 native
   608   +    685928    686815     888 nativebacarc  0 3 native
   609   +    686833    688035    1203 nativebacarc  0 3 native
   610   +    688032    688859     828 nativebacarc  0 3 native
   611   +    688808    689062     255 nativebacarc  0 3 native
   612   +    689059    690504    1446 nativebacarc  0 3 native
   613   +    690501    692027    1527 nativebacarc  0 3 native
   614   +    692090    693232    1143 nativebacarc  0 3 native
   615   +    693192    694787    1596 nativebacarc  0 3 native
   616   -    694839    695234     396 nativebacarc  0 3 native
   617   -    695228    695485     258 nativebac  0 3 native
   618   -    695668    696870    1203 nativebacarc  0 3 atypical
   619   -    697154    697567     414 nativebac  0 3 native
   620   -    697564    697800     237 nativebac  0 3 native
   621   -    697904    698410     507 nativebacarc  0 3 native
   622   -    698524    698994     471 nativebacarc  0 3 native
   623   -    699038    699781     744 nativebacarc  0 3 native
   624   +    699856    700167     312 nativebacarc  0 3 native
   625   +    700263    701189     927 nativebacarc  0 3 native
   626   +    701430    702014     585 nativebacarc  0 3 native
   627   +    702016    702759     744 nativebacarc  0 3 native
   628   +    702729    703199     471 nativebac  0 3 native
   629   +    703244    703489     246 nativebacarc  0 3 atypical
   630   +    703486    703887     402 nativebacarc  0 3 native
   631   -    704475    704672     198 nativebacarc  0 3 atypical
   632   -    704752    705909    1158 nativebacarc  0 3 native
   633   -    705961    706182     222 nativebacarc  0 3 native
   634   +    706381    706929     549 nativebacarc  0 3 native
   635   -    706948    709524    2577 nativebacarc  0 3 native
   636   +    709599    710348     750 nativebacarc  0 3 native
   637   +    710348    710587     240 nativebac  0 3 native
   638   +    710782    711009     228 nativebac  0 3 atypical
   639   +    711006    711407     402 nativebac  0 3 native
   640   +    711536    712231     696 nativebacarc  0 3 native
   641   +    712249    712719     471 nativebacarc  0 3 native
   642   +    712716    713807    1092 nativebacarc  0 3 native
   643   +    714307    715266     960 nativebacarc  0 3 native
   644   +    715370    716317     948 nativebacarc  0 3 native
   645   +    716410    716664     255 nativebac  0 3 native
   646   +    716664    717059     396 nativebacarc  0 3 atypical
   647   -    717153    717893     741 nativebacarc  0 3 native
   648   +    718025    718285     261 nativebac  0 3 native
   649   +    718282    718689     408 nativebacarc  0 3 native
   650   -    718761    719912    1152 nativebacarc  0 3 native
   651   -    720005    721732    1728 nativebacarc  0 3 native
   652   -    721729    725013    3285 nativebacarc  0 3 native
   653   -    725013    728306    3294 nativebacarc  0 3 native
   654   -    728583    729278     696 nativebacarc  0 3 native
   655   -    729327    730187     861 nativebacarc  0 3 native
   656   -    730320    731033     714 nativebacarc  0 3 native
   657   +    731152    731364     213 nativebacarc  0 3 atypical
   658   +    731712    731879     168 nativebac  0 3 native
   659   +    731936    732406     471 nativebacarc  0 3 native
   660   +    732375    732821     447 nativebacarc  0 3 native
   661   +    732825    733325     501 nativebacarc  0 3 native
   662   +    733737    734222     486 nativebacarc  0 3 native
   663   +    734254    734970     717 nativebacarc  0 3 native
   664   +    735022    735450     429 nativebacarc  0 3 native
   665   +    735517    736224     708 nativebacarc  0 3 native
   666   -    736298    737194     897 nativebacarc  0 3 native
   667   -    737268    738149     882 nativebacarc  0 3 native
   668   -    738297    739034     738 nativebacarc  0 3 atypical
   669   -    739327    740187     861 nativebacarc  0 3 native
   670   -    740234    741139     906 nativebacarc  0 3 native
   671   -    741151    742497    1347 nativebacarc  0 3 native
   672   +    742635    746366    3732 nativebacarc  0 3 native
   673   +    746363    747037     675 nativebacarc  0 3 native
   674   +    747037    747945     909 nativebacarc  0 3 native
   675   +    748276    748812     537 nativebacarc  0 3 native
   676   +    748849    749241     393 nativebacarc  0 3 native
   677   -    749234    750001     768 nativebacarc  0 3 native
   678   +    750000    751505    1506 nativebacarc  0 3 native
   679   +    751586    752596    1011 nativebacarc  0 3 native
   680   -    752984    753235     252 nativebacarc  0 3 native
   681   -    753462    753611     150 nativebacarc  0 3 atypical
   682   -    753693    754349     657 nativebacarc  0 3 native
   683   -    754980    755231     252 nativebacarc  0 3 native
   684   -    755335    755772     438 nativebacarc  0 3 atypical
   685   -    755769    756023     255 nativebacarc  0 3 atypical
   686   +    756137    758500    2364 nativebacarc  0 3 native
   687   +    758801    759139     339 nativebacarc  0 3 native
   688   +    760035    763325    3291 nativebacarc  0 3 native
   689   +    763370    767320    3951 nativebacarc  0 3 native
   690   -    767317    767691     375 nativebac  0 3 native
   691   -    767684    769540    1857 nativebacarc  0 3 atypical
   692   +    769792    770550     759 nativebacarc  0 3 native
   693   +    770582    771424     843 nativebacarc  0 3 native
   694   +    771484    773112    1629 nativebacarc  0 3 native
   695   +    773123    774061     939 nativebacarc  0 3 native
   696   +    774073    774786     714 nativebacarc  0 3 native
   697   +    774783    775574     792 nativebacarc  0 3 native
   698   -    775586    778402    2817 nativebacarc  0 3 native
   699   -    778477    778857     381 nativebacarc  0 3 atypical
   700   +    778981    779487     507 nativebacarc  0 3 native
   701   -    779543    780040     498 nativebacarc  0 3 native
   702   -    780042    780416     375 nativebacarc  0 3 native
   703   +    780712    781311     600 nativebacarc  0 3 native
   704   +    781560    781934     375 nativebacarc  0 3 atypical
   705   +    781934    782404     471 nativebacarc  0 3 atypical
   706   +    782485    784590    2106 nativebacarc  0 3 native
   707   +    784821    786011    1191 nativebacarc  0 3 native
   708   +    786149    786946     798 nativebacarc  0 3 native
   709   +    787132    787926     795 nativebacarc  0 3 native
   710   +    787940    789160    1221 nativebacarc  0 3 native
